
==== Running experiments with batch_size: 4 (fixed replay capacity=100000) ====
[batch 4] fail          | ep 0 | score 2782.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 58 | fails_since_last 1
[batch 4] >>> SUCCESS #1 | ep 1 | score 9464.4 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 92 | attempts 2 (fails 1+1)
[batch 4] >>> SUCCESS #2 | ep 2 | score 9455.7 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 93 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #3 | ep 3 | score 9404.4 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 109 | attempts 1 (fails 0+1)
[batch 4] fail          | ep 4 | score 2487.1 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 55 | fails_since_last 1
[batch 4] fail          | ep 5 | score 5428.5 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 91 | fails_since_last 2
[batch 4] fail          | ep 6 | score 5727.2 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 104 | fails_since_last 3
[batch 4] fail          | ep 7 | score 4221.2 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 76 | fails_since_last 4
[batch 4] fail          | ep 8 | score 2577.9 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 52 | fails_since_last 5
[batch 4] fail          | ep 9 | score 823.7 | last_reward -500.0 | loss 0.000 | eps 0.900 | steps 32 | fails_since_last 6
[batch 4] >>> SUCCESS #4 | ep 10 | score 9410.4 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 100 | attempts 7 (fails 6+1)
[batch 4] >>> SUCCESS #5 | ep 11 | score 9427.5 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 101 | attempts 1 (fails 0+1)
[batch 4] >>> SUCCESS #6 | ep 12 | score 9443.4 | last_reward 3000.0 | loss 122.413 | eps 0.839 | steps 97 | attempts 1 (fails 0+1)
[batch 4] fail          | ep 13 | score 2216.1 | last_reward -500.0 | loss 58.602 | eps 0.786 | steps 53 | fails_since_last 1
[batch 4] fail          | ep 14 | score 2439.5 | last_reward -500.0 | loss 91.925 | eps 0.736 | steps 50 | fails_since_last 2
[batch 4] fail          | ep 15 | score 3137.8 | last_reward -500.0 | loss 81.777 | eps 0.678 | steps 58 | fails_since_last 3
[batch 4] fail          | ep 16 | score 3459.4 | last_reward -500.0 | loss 24.748 | eps 0.618 | steps 60 | fails_since_last 4
[batch 4] >>> SUCCESS #7 | ep 17 | score 9451.4 | last_reward 3000.0 | loss 53.116 | eps 0.523 | steps 95 | attempts 5 (fails 4+1)
[batch 4] fail          | ep 18 | score 3221.1 | last_reward -500.0 | loss 23.444 | eps 0.462 | steps 61 | fails_since_last 1
[batch 4] fail          | ep 19 | score 3424.9 | last_reward -500.0 | loss 12.817 | eps 0.399 | steps 63 | fails_since_last 2
[batch 4] fail          | ep 20 | score 608.9 | last_reward -500.0 | loss 46.793 | eps 0.374 | steps 25 | fails_since_last 3
[batch 4] fail          | ep 21 | score 368.2 | last_reward -500.0 | loss 22.759 | eps 0.348 | steps 26 | fails_since_last 4
[batch 4] fail          | ep 22 | score 407.8 | last_reward -500.0 | loss 6.123 | eps 0.322 | steps 26 | fails_since_last 5
[batch 4] fail          | ep 23 | score 306.8 | last_reward -500.0 | loss 38.788 | eps 0.300 | steps 22 | fails_since_last 6
[batch 4] fail          | ep 24 | score 618.9 | last_reward -500.0 | loss 4.756 | eps 0.273 | steps 27 | fails_since_last 7
[batch 4] fail          | ep 25 | score 328.3 | last_reward -500.0 | loss 24.529 | eps 0.251 | steps 22 | fails_since_last 8
