
==== Start experiment: replay capacity (max_mem_size)=1000, batch_size=128 ====
[buffer 1000] >>> SUCCESS #1 | ep 0 | score 9401.53 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 1000] ep     0 | SUCCESS | score   9401.53 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps   99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 1000] ep     1 | fail    | score    488.36 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   40 | mem 139/1000 | tries=1 | 1 ms
[buffer 1000] ep     2 | fail    | score   2792.14 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   59 | mem 198/1000 | tries=2 | 1 ms
[buffer 1000] >>> SUCCESS #2 | ep 3 | score 9466.28 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 101 | mem 299/1000 | tries_since_last=2 | 2 ms
[buffer 1000] ep     3 | SUCCESS | score   9466.28 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps  101 | mem 299/1000 | tries_since_last=2 | 2 ms
[buffer 1000] ep     4 | fail    | score   2511.91 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   57 | mem 356/1000 | tries=1 | 1 ms
[buffer 1000] ep     5 | fail    | score   4264.01 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   80 | mem 436/1000 | tries=2 | 2 ms
[buffer 1000] ep     6 | fail    | score   2494.21 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   56 | mem 492/1000 | tries=3 | 1 ms
[buffer 1000] ep     7 | fail    | score   3701.09 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   77 | mem 569/1000 | tries=4 | 2 ms
[buffer 1000] ep     8 | fail    | score   1346.64 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   46 | mem 615/1000 | tries=5 | 1 ms
[buffer 1000] >>> SUCCESS #3 | ep 9 | score 9406.81 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 92 | mem 707/1000 | tries_since_last=5 | 2 ms
[buffer 1000] ep     9 | SUCCESS | score   9406.81 | last_reward 3000.0 | loss   0.000 | eps 0.900 | steps   92 | mem 707/1000 | tries_since_last=5 | 2 ms
[buffer 1000] ep    10 | fail    | score   5440.67 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   92 | mem 799/1000 | tries=1 | 2 ms
[buffer 1000] ep    11 | fail    | score   1158.17 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   34 | mem 833/1000 | tries=2 | 1 ms
[buffer 1000] ep    12 | fail    | score    649.37 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   25 | mem 858/1000 | tries=3 | 1 ms
[buffer 1000] ep    13 | fail    | score   2268.37 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   51 | mem 909/1000 | tries=4 | 1 ms
[buffer 1000] ep    14 | fail    | score    930.84 | last_reward -500.0 | loss   0.000 | eps 0.900 | steps   30 | mem 939/1000 | tries=5 | 1 ms
[buffer 1000] ep    15 | fail    | score   3890.47 | last_reward -500.0 | loss  66.359 | eps 0.882 | steps   78 | mem 1017/1000 | tries=6 | 92 ms
[buffer 1000] ep    16 | fail    | score   1295.55 | last_reward -500.0 | loss  73.663 | eps 0.847 | steps   35 | mem 1052/1000 | tries=7 | 82 ms
[buffer 1000] ep    17 | fail    | score   2101.50 | last_reward -500.0 | loss  69.000 | eps 0.799 | steps   48 | mem 1100/1000 | tries=8 | 101 ms
[buffer 1000] ep    18 | fail    | score    838.25 | last_reward -500.0 | loss  61.559 | eps 0.771 | steps   28 | mem 1128/1000 | tries=9 | 64 ms
[buffer 1000] ep    19 | fail    | score   1551.02 | last_reward -500.0 | loss  57.894 | eps 0.733 | steps   38 | mem 1166/1000 | tries=10 | 124 ms
[buffer 1000] ep    20 | fail    | score   1023.56 | last_reward -500.0 | loss  53.297 | eps 0.688 | steps   45 | mem 1211/1000 | tries=11 | 85 ms
[buffer 1000] ep    21 | fail    | score    452.93 | last_reward -500.0 | loss  44.904 | eps 0.663 | steps   25 | mem 1236/1000 | tries=12 | 44 ms
[buffer 1000] ep    22 | fail    | score   1338.97 | last_reward -500.0 | loss  41.480 | eps 0.627 | steps   36 | mem 1272/1000 | tries=13 | 75 ms
[buffer 1000] ep    23 | fail    | score   1393.98 | last_reward -500.0 | loss  27.224 | eps 0.589 | steps   38 | mem 1310/1000 | tries=14 | 76 ms
[buffer 1000] ep    24 | fail    | score   3004.45 | last_reward -500.0 | loss  19.957 | eps 0.529 | steps   60 | mem 1370/1000 | tries=15 | 104 ms
[buffer 1000] ep    25 | fail    | score    765.80 | last_reward -500.0 | loss  20.822 | eps 0.498 | steps   31 | mem 1401/1000 | tries=16 | 68 ms
[buffer 1000] ep    26 | fail    | score   2518.80 | last_reward -500.0 | loss  17.036 | eps 0.449 | steps   49 | mem 1450/1000 | tries=17 | 101 ms
[buffer 1000] ep    27 | fail    | score   2553.60 | last_reward -500.0 | loss  17.557 | eps 0.396 | steps   53 | mem 1503/1000 | tries=18 | 142 ms
[buffer 1000] ep    28 | fail    | score   1540.63 | last_reward -500.0 | loss  18.183 | eps 0.358 | steps   38 | mem 1541/1000 | tries=19 | 107 ms
[buffer 1000] >>> SUCCESS #4 | ep 29 | score 9421.70 | last_reward 3000.0 | loss 17.539 | eps 0.268 | steps 90 | mem 1631/1000 | tries_since_last=19 | 263 ms
[buffer 1000] ep    29 | SUCCESS | score   9421.70 | last_reward 3000.0 | loss  17.539 | eps 0.268 | steps   90 | mem 1631/1000 | tries_since_last=19 | 263 ms
[buffer 1000] >>> SUCCESS #5 | ep 30 | score 9469.11 | last_reward 3000.0 | loss 17.538 | eps 0.175 | steps 93 | mem 1724/1000 | tries_since_last=0 | 203 ms
[buffer 1000] ep    30 | SUCCESS | score   9469.11 | last_reward 3000.0 | loss  17.538 | eps 0.175 | steps   93 | mem 1724/1000 | tries_since_last=0 | 203 ms
[buffer 1000] >>> SUCCESS #6 | ep 31 | score 9470.10 | last_reward 3000.0 | loss 18.585 | eps 0.085 | steps 90 | mem 1814/1000 | tries_since_last=0 | 205 ms
[buffer 1000] ep    31 | SUCCESS | score   9470.10 | last_reward 3000.0 | loss  18.585 | eps 0.085 | steps   90 | mem 1814/1000 | tries_since_last=0 | 205 ms
[buffer 1000] >>> SUCCESS #7 | ep 32 | score 9479.57 | last_reward 3000.0 | loss 16.816 | eps 0.050 | steps 89 | mem 1903/1000 | tries_since_last=0 | 210 ms
[buffer 1000] ep    32 | SUCCESS | score   9479.57 | last_reward 3000.0 | loss  16.816 | eps 0.050 | steps   89 | mem 1903/1000 | tries_since_last=0 | 210 ms
[buffer 1000] >>> SUCCESS #8 | ep 33 | score 9443.81 | last_reward 3000.0 | loss 18.967 | eps 0.050 | steps 89 | mem 1992/1000 | tries_since_last=0 | 181 ms
[buffer 1000] ep    33 | SUCCESS | score   9443.81 | last_reward 3000.0 | loss  18.967 | eps 0.050 | steps   89 | mem 1992/1000 | tries_since_last=0 | 181 ms
[buffer 1000] >>> SUCCESS #9 | ep 34 | score 9442.62 | last_reward 3000.0 | loss 20.644 | eps 0.050 | steps 89 | mem 2081/1000 | tries_since_last=0 | 168 ms
[buffer 1000] ep    34 | SUCCESS | score   9442.62 | last_reward 3000.0 | loss  20.644 | eps 0.050 | steps   89 | mem 2081/1000 | tries_since_last=0 | 168 ms
