==== Start v4_show | batch_size=128, replay=50000 ====
ep     0 | fail    | score   4130.23 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps  112 | start_dist 750.0 | crash_dist 462.6 | final_dist 462.6 | reason: collision | fails_since_last=1 | 3872 ms
ep     1 | fail    | score   2924.36 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps   81 | start_dist 750.0 | crash_dist 527.7 | final_dist 527.7 | reason: collision | fails_since_last=2 | 2725 ms
ep     2 | fail    | score   4316.02 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps  166 | start_dist 750.0 | crash_dist 523.9 | final_dist 523.9 | reason: collision | fails_since_last=3 | 5613 ms
ep     3 | fail    | score   4571.77 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps  124 | start_dist 750.0 | crash_dist 447.5 | final_dist 447.5 | reason: collision | fails_since_last=4 | 4624 ms
ep     4 | fail    | score   2513.05 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps   71 | start_dist 750.0 | crash_dist 549.1 | final_dist 549.1 | reason: collision | fails_since_last=5 | 2395 ms
ep     5 | fail    | score   5604.62 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps  163 | start_dist 750.0 | crash_dist 390.2 | final_dist 390.2 | reason: collision | fails_since_last=6 | 5519 ms
ep     6 | fail    | score   2730.14 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps   77 | start_dist 750.0 | crash_dist 540.8 | final_dist 540.8 | reason: collision | fails_since_last=7 | 2606 ms
ep     7 | fail    | score   2100.94 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps   61 | start_dist 750.0 | crash_dist 577.3 | final_dist 577.3 | reason: collision | fails_since_last=8 | 2062 ms
ep     8 | fail    | score   4613.77 | last_reward -500.0 | loss   0.000 | eps 1.000 | steps  127 | start_dist 750.0 | crash_dist 441.6 | final_dist 441.6 | reason: collision | fails_since_last=9 | 4300 ms
ep     9 | fail    | score   2486.01 | last_reward -500.0 | loss  36.660 | eps 0.840 | steps   97 | start_dist 750.0 | crash_dist 608.0 | final_dist 608.0 | reason: collision | fails_since_last=10 | 3955 ms
ep    10 | fail    | score   4042.63 | last_reward -500.0 | loss  12.476 | eps 0.618 | steps  111 | start_dist 750.0 | crash_dist 473.9 | final_dist 473.9 | reason: collision | fails_since_last=11 | 3772 ms
ep    11 | fail    | score   1573.46 | last_reward -500.0 | loss   8.825 | eps 0.518 | steps   50 | start_dist 750.0 | crash_dist 610.1 | final_dist 610.1 | reason: collision | fails_since_last=12 | 1702 ms
ep    12 | fail    | score   1099.68 | last_reward -500.0 | loss   7.795 | eps 0.436 | steps   41 | start_dist 750.0 | crash_dist 640.8 | final_dist 640.8 | reason: collision | fails_since_last=13 | 1393 ms
ep    13 | fail    | score   1059.75 | last_reward -500.0 | loss   8.574 | eps 0.356 | steps   40 | start_dist 750.0 | crash_dist 642.4 | final_dist 642.4 | reason: collision | fails_since_last=14 | 1362 ms
ep    14 | fail    | score   1349.63 | last_reward -500.0 | loss   8.413 | eps 0.266 | steps   45 | start_dist 750.0 | crash_dist 623.0 | final_dist 623.0 | reason: collision | fails_since_last=15 | 1527 ms
ep    15 | fail    | score   1157.23 | last_reward -500.0 | loss   8.646 | eps 0.184 | steps   41 | start_dist 750.0 | crash_dist 633.7 | final_dist 633.7 | reason: collision | fails_since_last=16 | 1393 ms
ep    16 | fail    | score    926.62 | last_reward -500.0 | loss   8.632 | eps 0.110 | steps   37 | start_dist 750.0 | crash_dist 650.2 | final_dist 650.2 | reason: collision | fails_since_last=17 | 1259 ms
ep    17 | fail    | score   1115.88 | last_reward -500.0 | loss   9.439 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 636.0 | final_dist 636.0 | reason: collision | fails_since_last=18 | 1358 ms
ep    18 | fail    | score   1121.64 | last_reward -500.0 | loss   9.173 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 635.8 | final_dist 635.8 | reason: collision | fails_since_last=19 | 1356 ms
ep    19 | fail    | score   1169.40 | last_reward -500.0 | loss   8.668 | eps 0.100 | steps   41 | start_dist 750.0 | crash_dist 632.9 | final_dist 632.9 | reason: collision | fails_since_last=20 | 1394 ms
ep    20 | fail    | score   1173.62 | last_reward -500.0 | loss   8.414 | eps 0.100 | steps   41 | start_dist 750.0 | crash_dist 632.4 | final_dist 632.4 | reason: collision | fails_since_last=21 | 1394 ms
ep    21 | fail    | score   1128.04 | last_reward -500.0 | loss  10.450 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 635.1 | final_dist 635.1 | reason: collision | fails_since_last=22 | 1358 ms
ep    22 | fail    | score   1124.86 | last_reward -500.0 | loss   9.779 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 635.0 | final_dist 635.0 | reason: collision | fails_since_last=23 | 1360 ms
ep    23 | fail    | score   1126.82 | last_reward -500.0 | loss  10.145 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 635.0 | final_dist 635.0 | reason: collision | fails_since_last=24 | 1357 ms
ep    24 | fail    | score   1231.48 | last_reward -500.0 | loss   9.093 | eps 0.100 | steps   42 | start_dist 750.0 | crash_dist 628.2 | final_dist 628.2 | reason: collision | fails_since_last=25 | 1429 ms
ep    25 | fail    | score   1507.51 | last_reward -500.0 | loss   9.143 | eps 0.100 | steps   48 | start_dist 750.0 | crash_dist 612.0 | final_dist 612.0 | reason: collision | fails_since_last=26 | 1632 ms
ep    26 | fail    | score   1542.20 | last_reward -500.0 | loss   9.353 | eps 0.100 | steps   49 | start_dist 750.0 | crash_dist 609.9 | final_dist 609.9 | reason: collision | fails_since_last=27 | 1665 ms
ep    27 | fail    | score   1668.80 | last_reward -500.0 | loss   9.938 | eps 0.100 | steps   51 | start_dist 750.0 | crash_dist 601.1 | final_dist 601.1 | reason: collision | fails_since_last=28 | 1734 ms
ep    28 | fail    | score   1177.62 | last_reward -500.0 | loss  10.943 | eps 0.100 | steps   41 | start_dist 750.0 | crash_dist 632.0 | final_dist 632.0 | reason: collision | fails_since_last=29 | 1393 ms
ep    29 | fail    | score   1579.66 | last_reward -500.0 | loss  10.270 | eps 0.100 | steps   49 | start_dist 750.0 | crash_dist 605.1 | final_dist 605.1 | reason: collision | fails_since_last=30 | 1667 ms
ep    30 | fail    | score   1646.73 | last_reward -500.0 | loss  10.610 | eps 0.100 | steps   51 | start_dist 750.0 | crash_dist 604.2 | final_dist 604.2 | reason: collision | fails_since_last=31 | 1735 ms
ep    31 | fail    | score   1374.25 | last_reward -500.0 | loss  11.164 | eps 0.100 | steps   45 | start_dist 750.0 | crash_dist 619.7 | final_dist 619.7 | reason: collision | fails_since_last=32 | 1529 ms
ep    32 | fail    | score   1003.37 | last_reward -500.0 | loss  10.276 | eps 0.100 | steps   38 | start_dist 750.0 | crash_dist 643.7 | final_dist 643.7 | reason: collision | fails_since_last=33 | 1292 ms
ep    33 | fail    | score   1532.24 | last_reward -500.0 | loss  12.048 | eps 0.100 | steps   48 | start_dist 750.0 | crash_dist 608.0 | final_dist 608.0 | reason: collision | fails_since_last=34 | 1633 ms
ep    34 | fail    | score   1386.01 | last_reward -500.0 | loss  10.153 | eps 0.100 | steps   45 | start_dist 750.0 | crash_dist 617.6 | final_dist 617.6 | reason: collision | fails_since_last=35 | 1530 ms
ep    35 | fail    | score   1366.02 | last_reward -500.0 | loss  12.195 | eps 0.100 | steps   45 | start_dist 750.0 | crash_dist 621.2 | final_dist 621.2 | reason: collision | fails_since_last=36 | 1550 ms
ep    36 | fail    | score   1131.46 | last_reward -500.0 | loss  10.060 | eps 0.100 | steps   40 | start_dist 750.0 | crash_dist 634.8 | final_dist 634.8 | reason: collision | fails_since_last=37 | 1358 ms
ep    37 | fail    | score   1283.62 | last_reward -500.0 | loss  11.270 | eps 0.100 | steps   43 | start_dist 750.0 | crash_dist 624.1 | final_dist 624.1 | reason: collision | fails_since_last=38 | 1460 ms
ep    38 | fail    | score    660.49 | last_reward -500.0 | loss  11.855 | eps 0.100 | steps   37 | start_dist 750.0 | crash_dist 677.0 | final_dist 677.0 | reason: collision | fails_since_last=39 | 1260 ms
ep    39 | fail    | score   1704.80 | last_reward -500.0 | loss  11.434 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 600.3 | final_dist 600.3 | reason: collision | fails_since_last=40 | 1768 ms
ep    40 | fail    | score   2314.78 | last_reward -500.0 | loss  11.120 | eps 0.100 | steps   67 | start_dist 750.0 | crash_dist 564.1 | final_dist 564.1 | reason: collision | fails_since_last=41 | 2282 ms
ep    41 | fail    | score   1364.96 | last_reward -500.0 | loss  12.439 | eps 0.100 | steps   45 | start_dist 750.0 | crash_dist 620.3 | final_dist 620.3 | reason: collision | fails_since_last=42 | 1528 ms
ep    42 | fail    | score   1671.73 | last_reward -500.0 | loss  11.915 | eps 0.100 | steps   51 | start_dist 750.0 | crash_dist 600.2 | final_dist 600.2 | reason: collision | fails_since_last=43 | 1733 ms
ep    43 | fail    | score   1664.94 | last_reward -500.0 | loss  10.841 | eps 0.100 | steps   52 | start_dist 750.0 | crash_dist 603.9 | final_dist 603.9 | reason: collision | fails_since_last=44 | 1769 ms
ep    44 | fail    | score   1276.24 | last_reward -500.0 | loss  11.326 | eps 0.100 | steps   43 | start_dist 750.0 | crash_dist 625.7 | final_dist 625.7 | reason: collision | fails_since_last=45 | 1464 ms
ep    45 | fail    | score   1756.50 | last_reward -500.0 | loss  11.678 | eps 0.100 | steps   53 | start_dist 750.0 | crash_dist 595.5 | final_dist 595.5 | reason: collision | fails_since_last=46 | 1800 ms
ep    46 | fail    | score   1572.70 | last_reward -500.0 | loss  11.548 | eps 0.100 | steps   49 | start_dist 750.0 | crash_dist 606.1 | final_dist 606.1 | reason: collision | fails_since_last=47 | 1665 ms
ep    47 | fail    | score   1854.54 | last_reward -500.0 | loss  10.352 | eps 0.100 | steps   56 | start_dist 750.0 | crash_dist 586.5 | final_dist 586.5 | reason: collision | fails_since_last=48 | 1907 ms
